year,fips,totalvotes,DEMOCRAT,REPUBLICAN,OTHER,lagDEM,lagREP,lagOTH,Bac,Ass,High,Low,Civilian_labor_force,Unemployed,unemprate
2000,21027,7453,2595,4763,95,NA,NA,NA,3885,5523,2163,930,8667,410,0.04730587285104419
2000,21029,22701,8195,14054,452,NA,NA,NA,9418,16162,10108,3619,33514,1079,0.0321955003878976
2000,21031,5010,1299,3654,57,NA,NA,NA,3337,3426,1182,544,6610,266,0.04024205748865355
2000,21033,5482,2223,3161,98,NA,NA,NA,2493,3816,2027,929,6207,273,0.043982600289995163
2000,21035,13673,5635,7705,333,NA,NA,NA,4646,6365,4964,5057,17309,675,0.03899705355595355
2000,21037,33829,12040,20789,1000,NA,NA,NA,10956,19882,14598,11748,46627,1516,0.03251335063375298
2000,21039,2593,1149,1405,39,NA,NA,NA,983,1456,861,390,2410,146,0.06058091286307054
2000,21041,3499,1601,1818,80,NA,NA,NA,2133,2513,1491,553,4974,213,0.0428226779252111
2000,21043,8959,4182,4617,160,NA,NA,NA,6198,6484,3162,1550,11746,839,0.07142857142857142
2000,21045,5469,1122,4284,63,NA,NA,NA,4435,3833,1386,769,6869,312,0.045421458727616826
2000,21047,17773,6778,10787,208,NA,NA,NA,9185,13462,12669,5028,26464,1257,0.047498488512696495
2000,21049,12473,4918,7297,258,NA,NA,NA,5536,8043,5143,3465,17028,625,0.036704251820530893
2000,21051,6719,1723,4926,70,NA,NA,NA,8131,4661,2003,1288,7229,473,0.0654309033061281
2000,21053,4305,1032,3224,49,NA,NA,NA,3066,2085,918,525,4528,225,0.049690812720848056
2000,21055,4154,1610,2469,75,NA,NA,NA,2135,2596,1256,473,4353,277,0.06363427521249714
2000,21057,3006,736,2220,50,NA,NA,NA,2189,1808,621,354,3187,180,0.05647944775651083
2000,21059,36240,14126,21361,753,NA,NA,NA,11516,22492,15569,10168,46839,1952,0.041674672815388884
2000,21061,4995,1710,3250,35,NA,NA,NA,3014,3153,1311,387,5034,247,0.049066348827969807
2000,21063,2381,1525,827,29,NA,NA,NA,2098,1372,607,345,2458,217,0.08828315703824248
2000,21065,4710,1591,3033,86,NA,NA,NA,4228,3796,1458,707,6024,286,0.04747675962815405
