"year","state","fips","totalvotes","DEMOCRAT","REPUBLICAN","OTHER","lagDEM","lagREP","lagOTH"
1968,"TX","48223",6492,2700,1860,1932,4133,1518,0
1972,"TX","48223",5640,1710,3903,27,2700,1860,1932
1976,"TX","48223",7592,4992,2556,44,1710,3903,27
1980,"TX","48223",8318,4344,3834,140,4992,2556,44
1984,"TX","48223",9493,3707,5772,14,4344,3834,140
1988,"TX","48223",10142,4984,5133,25,3707,5772,14
1992,"TX","48223",10643,4085,3398,3160,4984,5133,25
1996,"TX","48223",9929,4522,4341,1066,4085,3398,3160
2000,"TX","48223",10910,3692,7076,142,4522,4341,1066
2004,"TX","48223",12062,3443,8582,37,3692,7076,142
2008,"TX","48223",12919,3530,9299,90,3443,8582,37
2012,"TX","48223",12753,2777,9836,140,3530,9299,90
2016,"TX","48223",13538,2510,10707,321,2777,9836,140
2020,"TX","48223",15939,3046,12719,174,2510,10707,321
1948,"TX","48225",3104,2014,532,558,NA,NA,NA
1952,"TX","48225",5126,2900,2222,4,2014,532,558
1956,"TX","48225",3958,1998,1941,19,2900,2222,4
1960,"TX","48225",4383,2703,1591,89,1998,1941,19
1964,"TX","48225",5366,3681,1675,10,2703,1591,89
1968,"TX","48225",6237,2782,1391,2064,3681,1675,10
1972,"TX","48225",5187,1844,3317,26,2782,1391,2064
1976,"TX","48225",5421,3179,2229,13,1844,3317,26
1980,"TX","48225",7144,4181,2889,74,3179,2229,13
1984,"TX","48225",7834,3275,4542,17,4181,2889,74
1988,"TX","48225",7764,3846,3882,36,3275,4542,17
1992,"TX","48225",8020,3250,3067,1703,3846,3882,36
1996,"TX","48225",7439,3383,3443,613,3250,3067,1703
2000,"TX","48225",8236,2833,5308,95,3383,3443,613
2004,"TX","48225",8806,2921,5848,37,2833,5308,95
2008,"TX","48225",8624,2656,5872,96,2921,5848,37
2012,"TX","48225",8214,2265,5880,69,2656,5872,96
2016,"TX","48225",8353,1978,6205,170,2265,5880,69
2020,"TX","48225",9437,2314,7060,63,1978,6205,170
1948,"TX","48227",5052,4179,561,312,NA,NA,NA
1952,"TX","48227",8202,4779,3412,11,4179,561,312
1956,"TX","48227",7571,4506,3051,14,4779,3412,11
1960,"TX","48227",8335,4844,3403,88,4506,3051,14
1964,"TX","48227",9367,6083,3272,12,4844,3403,88
1968,"TX","48227",10501,3897,3812,2792,6083,3272,12
1972,"TX","48227",10080,2714,7343,23,3897,3812,2792
1976,"TX","48227",11972,6984,4899,89,2714,7343,23
1980,"TX","48227",11312,4451,6658,203,6984,4899,89
1984,"TX","48227",11691,4115,7519,57,4451,6658,203
1988,"TX","48227",10517,4445,6024,48,4115,7519,57
1992,"TX","48227",10873,3735,5129,2009,4445,6024,48
1996,"TX","48227",9857,3732,5007,1118,3735,5129,2009
2000,"TX","48227",9548,2744,6668,136,3732,5007,1118
2004,"TX","48227",10201,2663,7480,58,2744,6668,136
2008,"TX","48227",9689,2545,7029,115,2663,7480,58
2012,"TX","48227",8695,2110,6453,132,2545,7029,115
2016,"TX","48227",8723,1770,6637,316,2110,6453,132
2020,"TX","48227",10240,2069,8054,117,1770,6637,316
1948,"TX","48229",498,437,49,12,NA,NA,NA
1952,"TX","48229",622,262,355,5,437,49,12
1956,"TX","48229",692,368,316,8,262,355,5
1960,"TX","48229",685,409,267,9,368,316,8
1964,"TX","48229",665,438,224,3,409,267,9
1968,"TX","48229",707,289,285,133,438,224,3
1972,"TX","48229",727,250,467,10,289,285,133
1976,"TX","48229",881,479,395,7,250,467,10
1980,"TX","48229",884,394,471,19,479,395,7
1984,"TX","48229",923,362,557,4,394,471,19
1988,"TX","48229",816,406,405,5,362,557,4
1992,"TX","48229",869,364,325,180,406,405,5
1996,"TX","48229",898,427,367,104,364,325,180
2000,"TX","48229",922,380,514,28,427,367,104
2004,"TX","48229",886,302,577,7,380,514,28
2008,"TX","48229",898,430,458,10,302,577,7
2012,"TX","48229",863,379,471,13,430,458,10
2016,"TX","48229",871,324,503,44,379,471,13
2020,"TX","48229",1165,371,779,15,324,503,44
1948,"TX","48231",7067,5082,1195,790,NA,NA,NA
1952,"TX","48231",10581,4953,5614,14,5082,1195,790
1956,"TX","48231",8592,4051,4508,33,4953,5614,14
1960,"TX","48231",8242,4116,4084,42,4051,4508,33
1964,"TX","48231",9879,6567,3302,10,4116,4084,42
1968,"TX","48231",12905,4785,4651,3469,6567,3302,10
1972,"TX","48231",13239,3655,9535,49,4785,4651,3469
1976,"TX","48231",15314,8543,6676,95,3655,9535,49
1980,"TX","48231",18501,8773,9283,445,8543,6676,95
1984,"TX","48231",21322,6971,14303,48,8773,9283,445
1988,"TX","48231",21238,8820,12331,87,6971,14303,48
1992,"TX","48231",24650,7452,9739,7459,8820,12331,87
1996,"TX","48231",21876,8801,10746,2329,7452,9739,7459
2000,"TX","48231",24466,7857,16177,432,8801,10746,2329
2004,"TX","48231",28194,7971,20065,158,7857,16177,432
2008,"TX","48231",29524,8594,20573,357,7971,20065,158
2012,"TX","48231",28049,6671,21011,367,8594,20573,357
2016,"TX","48231",31554,6396,23910,1248,6671,21011,367
2020,"TX","48231",38574,8906,29163,505,6396,23910,1248
1948,"TX","48233",6009,4527,1382,100,NA,NA,NA
1952,"TX","48233",10465,5083,5369,13,4527,1382,100
1956,"TX","48233",9336,4184,5110,42,5083,5369,13
1960,"TX","48233",9747,3295,6432,20,4184,5110,42
1964,"TX","48233",10000,4625,5358,17,3295,6432,20
1968,"TX","48233",10148,2416,4813,2919,4625,5358,17
1972,"TX","48233",9121,1405,7411,305,2416,4813,2919
1976,"TX","48233",9933,3691,6137,105,1405,7411,305
1980,"TX","48233",10632,2935,7439,258,3691,6137,105
1984,"TX","48233",11171,2052,9078,41,2935,7439,258
1988,"TX","48233",10526,2950,7526,50,2052,9078,41
1992,"TX","48233",10888,2833,6034,2021,2950,7526,50
1996,"TX","48233",9803,2553,6350,900,2833,6034,2021
2000,"TX","48233",9351,1796,7443,112,2553,6350,900
2004,"TX","48233",9369,1503,7839,27,1796,7443,112
2008,"TX","48233",8761,1322,7361,78,1503,7839,27
2012,"TX","48233",7928,1045,6804,79,1322,7361,78
2016,"TX","48233",8155,854,7042,259,1045,6804,79
2020,"TX","48233",8771,965,7681,125,854,7042,259
1948,"TX","48235",440,366,63,11,NA,NA,NA
1952,"TX","48235",550,282,268,0,366,63,11
1956,"TX","48235",432,178,252,2,282,268,0
1960,"TX","48235",487,246,238,3,178,252,2
1964,"TX","48235",550,351,199,0,246,238,3
1968,"TX","48235",490,187,211,92,351,199,0
1972,"TX","48235",477,111,363,3,187,211,92
1976,"TX","48235",604,297,302,5,111,363,3
1980,"TX","48235",670,239,427,4,297,302,5
1984,"TX","48235",822,199,619,4,239,427,4
1988,"TX","48235",867,326,539,2,199,619,4
1992,"TX","48235",831,256,283,292,326,539,2
1996,"TX","48235",690,213,386,91,256,283,292
2000,"TX","48235",793,162,624,7,213,386,91
2004,"TX","48235",828,141,684,3,162,624,7
2008,"TX","48235",817,164,644,9,141,684,3
2012,"TX","48235",788,112,668,8,164,644,9
2016,"TX","48235",766,90,660,16,112,668,8
2020,"TX","48235",889,120,759,10,90,660,16
1948,"TX","48237",1817,1426,265,126,NA,NA,NA
1952,"TX","48237",2539,1130,1406,3,1426,265,126
1956,"TX","48237",2347,997,1327,23,1130,1406,3
1960,"TX","48237",2432,1079,1342,11,997,1327,23
1964,"TX","48237",2444,1594,847,3,1079,1342,11
1968,"TX","48237",2611,1133,966,512,1594,847,3
1972,"TX","48237",2507,775,1719,13,1133,966,512
1976,"TX","48237",2871,1814,1049,8,775,1719,13
1980,"TX","48237",2877,1349,1482,46,1814,1049,8
1984,"TX","48237",2779,945,1825,9,1349,1482,46
1988,"TX","48237",3074,1521,1542,11,945,1825,9
1992,"TX","48237",3347,1254,1041,1052,1521,1542,11
1996,"TX","48237",2487,1019,1162,306,1254,1041,1052
2000,"TX","48237",2974,822,2107,45,1019,1162,306
2004,"TX","48237",3126,643,2470,13,822,2107,45
2008,"TX","48237",3023,470,2528,25,643,2470,13
2012,"TX","48237",2908,303,2580,25,470,2528,25
2016,"TX","48237",3350,314,2973,63,303,2580,25
2020,"TX","48237",3782,331,3418,33,314,2973,63
1948,"TX","48239",1972,1343,488,141,NA,NA,NA
1952,"TX","48239",3698,1584,2113,1,1343,488,141
1956,"TX","48239",3852,1571,2259,22,1584,2113,1
1960,"TX","48239",3972,2268,1670,34,1571,2259,22
1964,"TX","48239",3952,2775,1168,9,2268,1670,34
1968,"TX","48239",4286,1698,1438,1150,2775,1168,9
1972,"TX","48239",3929,1163,2743,23,1698,1438,1150
1976,"TX","48239",4433,2524,1884,25,1163,2743,23
1980,"TX","48239",4463,1826,2540,97,2524,1884,25
1984,"TX","48239",5478,1804,3661,13,1826,2540,97
1988,"TX","48239",5115,2141,2954,20,1804,3661,13
1992,"TX","48239",5152,1722,2451,979,2141,2954,20
1996,"TX","48239",4640,1785,2533,322,1722,2451,979
2000,"TX","48239",4856,1446,3365,45,1785,2533,322
2004,"TX","48239",5077,1296,3766,15,1446,3365,45
2008,"TX","48239",5068,1301,3723,44,1296,3766,15
2012,"TX","48239",5025,1070,3906,49,1301,3723,44
2016,"TX","48239",5302,904,4266,132,1070,3906,49
2020,"TX","48239",6340,1033,5231,76,904,4266,132
1948,"TX","48241",2527,1777,284,466,NA,NA,NA
1952,"TX","48241",4543,2595,1946,2,1777,284,466
1956,"TX","48241",4308,1856,2430,22,2595,1946,2
1960,"TX","48241",5123,3004,2102,17,1856,2430,22
1964,"TX","48241",5537,3600,1919,18,3004,2102,17
1968,"TX","48241",7183,2438,1839,2906,3600,1919,18
1972,"TX","48241",7325,2746,4575,4,2438,1839,2906
1976,"TX","48241",8607,5422,3167,18,2746,4575,4
1980,"TX","48241",10257,5707,4396,154,5422,3167,18
1984,"TX","48241",11779,5787,5965,27,5707,4396,154
1988,"TX","48241",11629,6613,4985,31,5787,5965,27
1992,"TX","48241",12087,5658,3870,2559,6613,4985,31
1996,"TX","48241",10640,5039,4523,1078,5658,3870,2559
2000,"TX","48241",11742,4533,7071,138,5039,4523,1078
2004,"TX","48241",12873,4471,8347,55,4533,7071,138
2008,"TX","48241",12776,3658,9022,96,4471,8347,55
2012,"TX","48241",13517,3423,9957,137,3658,9022,96
2016,"TX","48241",13419,2590,10609,220,3423,9957,137
2020,"TX","48241",15608,2954,12542,112,2590,10609,220
1948,"TX","48243",402,309,75,18,NA,NA,NA
1952,"TX","48243",489,183,306,0,309,75,18
1956,"TX","48243",407,165,239,3,183,306,0
1960,"TX","48243",381,195,182,4,165,239,3
1964,"TX","48243",479,304,174,1,195,182,4
1968,"TX","48243",496,239,191,66,304,174,1
1972,"TX","48243",595,202,382,11,239,191,66
1976,"TX","48243",607,309,288,10,202,382,11
1980,"TX","48243",729,300,409,20,309,288,10
1984,"TX","48243",815,299,511,5,300,409,20
1988,"TX","48243",870,325,524,21,299,511,5
1992,"TX","48243",876,321,360,195,325,524,21
1996,"TX","48243",963,370,482,111,321,360,195
2000,"TX","48243",1060,283,708,69,370,482,111
2004,"TX","48243",1167,378,764,25,283,708,69
2008,"TX","48243",1236,468,749,19,378,764,25
2012,"TX","48243",1192,440,719,33,468,749,19
2016,"TX","48243",1191,422,695,74,440,719,33
2020,"TX","48243",1305,501,784,20,422,695,74
1948,"TX","48245",33514,22475,5749,5290,NA,NA,NA
1952,"TX","48245",54795,29384,25363,48,22475,5749,5290
1956,"TX","48245",55429,25057,30102,270,29384,25363,48
1960,"TX","48245",70331,40533,29395,403,25057,30102,270
1964,"TX","48245",73594,44584,28771,239,40533,29395,403
1968,"TX","48245",77868,30032,26007,21829,44584,28771,239
1972,"TX","48245",75837,29909,45819,109,30032,26007,21829
1976,"TX","48245",80546,47581,32451,514,29909,45819,109
1980,"TX","48245",84602,45642,36763,2197,47581,32451,514
1984,"TX","48245",100215,54846,45124,245,45642,36763,2197
1988,"TX","48245",91693,55649,35754,290,54846,45124,245
1992,"TX","48245",95543,48405,29622,17516,55649,35754,290
1996,"TX","48245",84426,45854,32821,5751,48405,29622,17516
2000,"TX","48245",86909,45409,40320,1180,45854,32821,5751
2004,"TX","48245",91866,47066,44423,377,45409,40320,1180
2008,"TX","48245",88430,44888,42905,637,47066,44423,377
2012,"TX","48245",88735,44668,43242,825,44888,42905,637
2016,"TX","48245",87618,42443,42862,2313,44668,43242,825
2020,"TX","48245",94739,46073,47570,1096,42443,42862,2313
1948,"TX","48247",829,725,73,31,NA,NA,NA
1952,"TX","48247",1362,1053,309,0,725,73,31
1956,"TX","48247",906,617,282,7,1053,309,0
1960,"TX","48247",1479,1255,224,0,617,282,7
1964,"TX","48247",1530,1375,152,3,1255,224,0
1968,"TX","48247",1552,1276,223,53,1375,152,3
1972,"TX","48247",1618,848,765,5,1276,223,53
1976,"TX","48247",2074,1645,429,0,848,765,5
1980,"TX","48247",1997,1437,535,25,1645,429,0
1984,"TX","48247",2313,1703,608,2,1437,535,25
1988,"TX","48247",2143,1630,510,3,1703,608,2
1992,"TX","48247",2110,1520,478,112,1630,510,3
1996,"TX","48247",1812,1437,307,68,1520,478,112
2000,"TX","48247",2157,1512,623,22,1437,307,68
2004,"TX","48247",2065,1344,712,9,1512,623,22
2008,"TX","48247",1815,1336,472,7,1344,712,9
2012,"TX","48247",1667,1301,356,10,1336,472,7
2016,"TX","48247",2119,1635,430,54,1301,356,10
2020,"TX","48247",2036,1197,833,6,1635,430,54
1948,"TX","48249",5299,3781,1402,116,NA,NA,NA
1952,"TX","48249",7339,3745,3592,2,3781,1402,116
1956,"TX","48249",6122,2752,3348,22,3745,3592,2
1960,"TX","48249",8112,5330,2773,9,2752,3348,22
1964,"TX","48249",8837,6849,1988,0,5330,2773,9
1968,"TX","48249",10047,6304,2827,916,6849,1988,0
1972,"TX","48249",9698,4404,5283,11,6304,2827,916
1976,"TX","48249",11550,7961,3547,42,4404,5283,11
1980,"TX","48249",12013,7267,4606,140,7961,3547,42
1984,"TX","48249",13715,7795,5896,24,7267,4606,140
1988,"TX","48249",12886,8495,4335,56,7795,5896,24
1992,"TX","48249",12561,7812,3311,1438,8495,4335,56
1996,"TX","48249",10572,7116,2989,467,7812,3311,1438
2000,"TX","48249",12023,7418,4498,107,7116,2989,467
2004,"TX","48249",12691,6824,5817,50,7418,4498,107
2008,"TX","48249",11612,6706,4841,65,6824,5817,50
2012,"TX","48249",11166,6492,4598,76,6706,4841,65
2016,"TX","48249",12379,6694,5420,265,6492,4598,76
2020,"TX","48249",13669,6119,7453,97,6694,5420,265
1948,"TX","48251",5202,4042,707,453,NA,NA,NA
1952,"TX","48251",8485,4496,3985,4,4042,707,453
1956,"TX","48251",7340,3560,3750,30,4496,3985,4
1960,"TX","48251",8431,3844,4510,77,3560,3750,30
1964,"TX","48251",9642,6381,3251,10,3844,4510,77
1968,"TX","48251",12417,5330,4372,2715,6381,3251,10
1972,"TX","48251",14136,3968,10042,126,5330,4372,2715
1976,"TX","48251",18127,10864,7194,69,3968,10042,126
1980,"TX","48251",22454,10542,11411,501,10864,7194,69
1984,"TX","48251",27474,9148,18254,72,10542,11411,501
1988,"TX","48251",30171,12507,17509,155,9148,18254,72
1992,"TX","48251",37202,12030,13473,11699,12507,17509,155
1996,"TX","48251",32473,12817,16246,3410,12030,13473,11699
2000,"TX","48251",38726,11778,26202,746,12817,16246,3410
2004,"TX","48251",47422,12325,34818,279,11778,26202,746
2008,"TX","48251",50050,12912,36685,453,12325,34818,279
2012,"TX","48251",48838,10496,37661,681,12912,36685,453
2016,"TX","48251",57606,10988,44382,2236,10496,37661,681
2020,"TX","48251",72005,16464,54628,913,10988,44382,2236
1948,"TX","48253",4177,3599,432,146,NA,NA,NA
1952,"TX","48253",5633,2680,2941,12,3599,432,146
1956,"TX","48253",4677,2594,2073,10,2680,2941,12
1960,"TX","48253",4986,2772,2196,18,2594,2073,10
1964,"TX","48253",4920,3622,1295,3,2772,2196,18
1968,"TX","48253",4979,2372,1676,931,3622,1295,3
1972,"TX","48253",4263,1050,3202,11,2372,1676,931
1976,"TX","48253",5416,3318,2072,26,1050,3202,11
1980,"TX","48253",5874,3043,2765,66,3318,2072,26
1984,"TX","48253",6383,2343,4017,23,3043,2765,66
1988,"TX","48253",5916,2898,3000,18,2343,4017,23
1992,"TX","48253",5932,2400,2088,1444,2898,3000,18
1996,"TX","48253",5410,2422,2351,637,2400,2088,1444
2000,"TX","48253",6048,1899,4080,69,2422,2351,637
2004,"TX","48253",5931,1658,4254,19,1899,4080,69
2008,"TX","48253",5808,1528,4203,77,1658,4254,19
2012,"TX","48253",5567,1226,4262,79,1528,4203,77
2016,"TX","48253",5960,936,4819,205,1226,4262,79
2020,"TX","48253",6741,999,5660,82,936,4819,205
1948,"TX","48255",2971,2198,592,181,NA,NA,NA
1952,"TX","48255",4260,1884,2374,2,2198,592,181
1956,"TX","48255",3417,1636,1764,17,1884,2374,2
1960,"TX","48255",4085,2556,1526,3,1636,1764,17
1964,"TX","48255",4177,3178,993,6,2556,1526,3
1968,"TX","48255",4299,2271,1342,686,3178,993,6
1972,"TX","48255",4428,1780,2639,9,2271,1342,686
1976,"TX","48255",4718,2996,1675,47,1780,2639,9
1980,"TX","48255",5074,2284,2719,71,2996,1675,47
1984,"TX","48255",4882,1802,3068,12,2284,2719,71
1988,"TX","48255",4933,2529,2383,21,1802,3068,12
1992,"TX","48255",4700,1897,1990,813,2529,2383,21
1996,"TX","48255",4334,2154,1869,311,1897,1990,813
2000,"TX","48255",4308,1617,2638,53,2154,1869,311
2004,"TX","48255",4673,1543,3114,16,1617,2638,53
2008,"TX","48255",4527,1760,2736,31,1543,3114,16
2012,"TX","48255",4185,1325,2825,35,1760,2736,31
2016,"TX","48255",4198,1145,2965,88,1325,2825,35
2020,"TX","48255",5249,1234,3968,47,1145,2965,88
1948,"TX","48257",4890,3479,764,647,NA,NA,NA
1952,"TX","48257",6729,3762,2964,3,3479,764,647
1956,"TX","48257",5750,2902,2816,32,3762,2964,3
1960,"TX","48257",5768,3008,2717,43,2902,2816,32
1964,"TX","48257",6694,4766,1922,6,3008,2717,43
1968,"TX","48257",8092,3311,2431,2350,4766,1922,6
1972,"TX","48257",7906,2795,5100,11,3311,2431,2350
1976,"TX","48257",10204,6302,3867,35,2795,5100,11
1980,"TX","48257",12287,6266,5852,169,6302,3867,35
1984,"TX","48257",14938,5554,9343,41,6266,5852,169
1988,"TX","48257",15916,7358,8466,92,5554,9343,41
1992,"TX","48257",19060,6498,6578,5984,7358,8466,92
1996,"TX","48257",17993,7383,8697,1913,6498,6578,5984
2000,"TX","48257",23063,7455,15290,318,7383,8697,1913
2004,"TX","48257",30366,8947,21304,115,7455,15290,318
2008,"TX","48257",35145,11161,23735,249,8947,21304,115
2012,"TX","48257",34670,9472,24846,352,11161,23735,249
2016,"TX","48257",41265,10278,29587,1400,9472,24846,352
2020,"TX","48257",56703,18405,37624,674,10278,29587,1400
1948,"TX","48259",1789,511,1207,71,NA,NA,NA
1952,"TX","48259",2164,370,1786,8,511,1207,71
1956,"TX","48259",1873,341,1519,13,370,1786,8
1960,"TX","48259",2100,549,1544,7,341,1519,13
1964,"TX","48259",2173,970,1200,3,549,1544,7
1968,"TX","48259",2471,538,1569,364,970,1200,3
1972,"TX","48259",3183,484,2681,18,538,1569,364
1976,"TX","48259",3793,1190,2543,60,484,2681,18
1980,"TX","48259",5086,1075,3890,121,1190,2543,60
1984,"TX","48259",5522,938,4568,16,1075,3890,121
1988,"TX","48259",6398,1446,4875,77,938,4568,16
1992,"TX","48259",7354,1374,4162,1818,1446,4875,77
1996,"TX","48259",8781,2092,5940,749,1374,4162,1818
2000,"TX","48259",11073,1901,8788,384,2092,5940,749
2004,"TX","48259",14072,2532,11434,106,1901,8788,384
2008,"TX","48259",16746,3599,12971,176,2532,11434,106
2012,"TX","48259",17783,3043,14508,232,3599,12971,176
2016,"TX","48259",20120,3643,15700,777,3043,14508,232
2020,"TX","48259",26438,6020,20083,335,3643,15700,777
1948,"TX","48261",81,45,31,5,NA,NA,NA
1952,"TX","48261",122,14,108,0,45,31,5
1956,"TX","48261",135,10,125,0,14,108,0
1960,"TX","48261",152,78,74,0,10,125,0
1964,"TX","48261",146,115,30,1,78,74,0
1968,"TX","48261",183,100,76,7,115,30,1
1972,"TX","48261",213,88,124,1,100,76,7
1976,"TX","48261",205,139,65,1,88,124,1
1980,"TX","48261",187,106,76,5,139,65,1
1984,"TX","48261",207,110,96,1,106,76,5
1988,"TX","48261",196,119,76,1,110,96,1
1992,"TX","48261",174,87,69,18,119,76,1
1996,"TX","48261",208,133,71,4,87,69,18
2000,"TX","48261",228,119,106,3,133,71,4
2004,"TX","48261",169,85,82,2,119,106,3
2008,"TX","48261",202,108,94,0,85,82,2
2012,"TX","48261",167,82,84,1,108,94,0
2016,"TX","48261",186,99,84,3,82,84,1
2020,"TX","48261",194,65,127,2,99,84,3
1948,"TX","48263",534,479,33,22,NA,NA,NA
1952,"TX","48263",786,526,259,1,479,33,22
1956,"TX","48263",755,519,234,2,526,259,1
1960,"TX","48263",698,491,205,2,519,234,2
1964,"TX","48263",678,563,115,0,491,205,2
1968,"TX","48263",634,303,143,188,563,115,0
1972,"TX","48263",688,223,465,0,303,143,188
1976,"TX","48263",647,474,171,2,223,465,0
1980,"TX","48263",694,351,339,4,474,171,2
1984,"TX","48263",588,253,332,3,351,339,4
1988,"TX","48263",674,398,274,2,253,332,3
1992,"TX","48263",610,271,175,164,398,274,2
1996,"TX","48263",515,260,187,68,271,175,164
2000,"TX","48263",536,185,346,5,260,187,68
2004,"TX","48263",522,138,382,2,185,346,5
2008,"TX","48263",448,99,342,7,138,382,2
2012,"TX","48263",405,66,335,4,99,342,7
2016,"TX","48263",434,59,360,15,66,335,4
2020,"TX","48263",462,47,411,4,59,360,15
1948,"TX","48265",3204,1505,1520,179,NA,NA,NA
1952,"TX","48265",5029,1337,3683,9,1505,1520,179
1956,"TX","48265",4594,1025,3555,14,1337,3683,9
1960,"TX","48265",4596,1323,3252,21,1025,3555,14
1964,"TX","48265",5608,2894,2706,8,1323,3252,21
1968,"TX","48265",6643,1878,3692,1073,2894,2706,8
1972,"TX","48265",7760,1511,6039,210,1878,3692,1073
1976,"TX","48265",9978,3767,6021,190,1511,6039,210
1980,"TX","48265",12855,3387,9090,378,3767,6021,190
1984,"TX","48265",14974,3102,11829,43,3387,9090,378
1988,"TX","48265",14937,3587,11207,143,3102,11829,43
1992,"TX","48265",16358,3707,8787,3864,3587,11207,143
1996,"TX","48265",16775,4192,11173,1410,3707,8787,3864
2000,"TX","48265",19228,4002,14637,589,4192,11173,1410
2004,"TX","48265",21246,4557,16538,151,4002,14637,589
2008,"TX","48265",22556,5570,16752,234,4557,16538,151
2012,"TX","48265",21879,4338,17274,267,5570,16752,234
2016,"TX","48265",23297,4681,17727,889,4338,17274,267
2020,"TX","48265",27745,6524,20879,342,4681,17727,889
1948,"TX","48267",1250,851,303,96,NA,NA,NA
1952,"TX","48267",1605,525,1077,3,851,303,96
1956,"TX","48267",1307,484,821,2,525,1077,3
1960,"TX","48267",1253,550,699,4,484,821,2
1964,"TX","48267",1383,862,520,1,550,699,4
1968,"TX","48267",1368,463,640,265,862,520,1
1972,"TX","48267",1243,266,971,6,463,640,265
1976,"TX","48267",1632,759,846,27,266,971,6
1980,"TX","48267",1651,608,1011,32,759,846,27
1984,"TX","48267",1784,442,1333,9,608,1011,32
1988,"TX","48267",1617,551,1061,5,442,1333,9
1992,"TX","48267",1613,467,790,356,551,1061,5
1996,"TX","48267",1563,521,898,144,467,790,356
2000,"TX","48267",1666,328,1313,25,521,898,144
2004,"TX","48267",1816,324,1482,10,328,1313,25
2008,"TX","48267",1843,342,1487,14,324,1482,10
2012,"TX","48267",1892,217,1667,8,342,1487,14
2016,"TX","48267",1952,206,1697,49,217,1667,8
2020,"TX","48267",2292,284,1987,21,206,1697,49
1948,"TX","48269",241,231,6,4,NA,NA,NA
1952,"TX","48269",255,189,66,0,231,6,4
1956,"TX","48269",224,177,46,1,189,66,0
1960,"TX","48269",173,133,39,1,177,46,1
1964,"TX","48269",214,180,34,0,133,39,1
1968,"TX","48269",224,109,44,71,180,34,0
1972,"TX","48269",219,75,143,1,109,44,71
1976,"TX","48269",197,100,96,1,75,143,1
1980,"TX","48269",205,55,144,6,100,96,1
1984,"TX","48269",194,53,141,0,55,144,6
1988,"TX","48269",175,64,111,0,53,141,0
1992,"TX","48269",189,54,79,56,64,111,0
1996,"TX","48269",182,46,97,39,54,79,56
2000,"TX","48269",137,14,120,3,46,97,39
2004,"TX","48269",156,18,137,1,14,120,3
2008,"TX","48269",163,8,151,4,18,137,1
2012,"TX","48269",145,5,139,1,8,151,4
2016,"TX","48269",159,5,149,5,5,139,1
2020,"TX","48269",159,8,151,0,5,149,5
1948,"TX","48271",575,370,175,30,NA,NA,NA
1952,"TX","48271",690,306,384,0,370,175,30
1956,"TX","48271",660,289,368,3,306,384,0
1960,"TX","48271",569,358,211,0,289,368,3
1964,"TX","48271",594,439,155,0,358,211,0
1968,"TX","48271",599,333,198,68,439,155,0
1972,"TX","48271",660,234,425,1,333,198,68
1976,"TX","48271",843,516,318,9,234,425,1
1980,"TX","48271",1046,472,543,31,516,318,9
1984,"TX","48271",1263,486,774,3,472,543,31
1988,"TX","48271",1450,669,771,10,486,774,3
1992,"TX","48271",1539,598,634,307,669,771,10
1996,"TX","48271",1256,503,650,103,598,634,307
2000,"TX","48271",1444,486,932,26,503,650,103
2004,"TX","48271",1600,542,1051,7,486,932,26
2008,"TX","48271",1551,633,907,11,542,1051,7
2012,"TX","48271",1425,522,880,23,633,907,11
2016,"TX","48271",1430,458,936,36,522,880,23
2020,"TX","48271",1603,446,1144,13,458,936,36
1948,"TX","48273",2873,2083,697,93,NA,NA,NA
1952,"TX","48273",5231,3193,2037,1,2083,697,93
1956,"TX","48273",4572,2436,2121,15,3193,2037,1
1960,"TX","48273",5866,3773,2092,1,2436,2121,15
1964,"TX","48273",6230,4568,1652,10,3773,2092,1
1968,"TX","48273",8016,4633,2713,670,4568,1652,10
1972,"TX","48273",9803,4481,5312,10,4633,2713,670
1976,"TX","48273",9647,5803,3771,73,4481,5312,10
1980,"TX","48273",10053,5125,4608,320,5803,3771,73
1984,"TX","48273",10681,4924,5712,45,5125,4608,320
1988,"TX","48273",9946,5367,4443,136,4924,5712,45
1992,"TX","48273",10564,5109,3897,1558,5367,4443,136
1996,"TX","48273",8999,5136,3391,472,5109,3897,1558
2000,"TX","48273",9194,4481,4526,187,5136,3391,472
2004,"TX","48273",9973,4550,5366,57,4481,4526,187
2008,"TX","48273",9876,5256,4540,80,4550,5366,57
2012,"TX","48273",8907,4754,4058,95,5256,4540,80
2016,"TX","48273",9512,4716,4367,429,4754,4058,95
2020,"TX","48273",10944,5314,5504,126,4716,4367,429
1948,"TX","48275",2008,1792,157,59,NA,NA,NA
1952,"TX","48275",2590,1556,1033,1,1792,157,59
1956,"TX","48275",2100,1262,835,3,1556,1033,1
1960,"TX","48275",2098,1365,729,4,1262,835,3
1964,"TX","48275",2216,1773,439,4,1365,729,4
1968,"TX","48275",2127,1222,580,325,1773,439,4
1972,"TX","48275",1800,638,1148,14,1222,580,325
1976,"TX","48275",2060,1498,551,11,638,1148,14
1980,"TX","48275",1968,1163,783,22,1498,551,11
1984,"TX","48275",1952,921,1027,4,1163,783,22
1988,"TX","48275",1782,1013,765,4,921,1027,4
1992,"TX","48275",1815,854,521,440,1013,765,4
1996,"TX","48275",1537,785,599,153,854,521,440
2000,"TX","48275",1576,617,947,12,785,599,153
2004,"TX","48275",1552,464,1081,7,617,947,12
2008,"TX","48275",1368,367,986,15,464,1081,7
