id	parliament	year	candidate_name	edate	birth_year	country_birth	occupation	riding_id	riding	province	votes	percent_votes	party_raw	party_minor_group	party_major_group	gov_party_raw	gov_minor_group	gov_major_group	num_candidates	type_elxn	elected	incumbent	gender	lgbtq2_out	indigenousorigins	lawyer	censuscategory	acclaimed	switcher	multiple_candidacy
27848	14	1921	"SCRATCH, Eugene S."	"1921-12-06"					"ESSEX SOUTH"	"Ontario"	2953	23.860699	"Conservative"	"Conservative"	"Conservative"	"Liberal Party of Canada"	"Liberal"	"Liberal"	3	1	0	0	0		0			0	0	0
382	14	1921	"ARCHAMBAULT, Joseph"	"1921-12-06"	1879		"lawyer"		"CHAMBLY--VERCH�����RES"	"Quebec"	8847	64.61437	"Liberal"	"Liberal"	"Liberal"	"Liberal Party of Canada"	"Liberal"	"Liberal"	2	1	1	1	0		0	1	4	0	0	0
4173	14	1921	"COLTER, Chalres Wesley"	"1921-12-06"			"gentleman"		"ELGIN EAST"	"Ontario"	1750	21.440823	"Liberal"	"Liberal"	"Liberal"	"Liberal Party of Canada"	"Liberal"	"Liberal"	3	1	0	0	0		0	0		0	0	0
28960	14	1921	"STEWART, Thomas Joseph"	"1921-12-06"	1848		"businessman"		"HAMILTON WEST"	"Ontario"	6942	51.464157	"Conservative"	"Conservative"	"Conservative"	"Liberal Party of Canada"	"Liberal"	"Liberal"	3	1	1	1	0		0	0	1	0	0	0
111	14	1921	"AITKIN, Robert John"	"1921-12-06"			"farmer"		"BRANT"	"Ontario"	1645	20.298618	"Liberal"	"Liberal"	"Liberal"	"Liberal Party of Canada"	"Liberal"	"Liberal"	3	1	0	0	0		0	0	8	0	0	0
23546	14	1921	"M�����NARD, Marc-Azarie"	"1921-12-06"			"business agent"		"LABELLE"	"Quebec"	124	1.1913912	"Independent"	"Independent"	"Independent"	"Liberal Party of Canada"	"Liberal"	"Liberal"	3	1	0	0	0		0	0	1	0	0	0
5206	14	1921	"DELANY, Thomas James"	"1921-12-06"			"merchant"		"QUEBEC SOUTH"	"Quebec"	3281	30.967438	"Conservative"	"Conservative"	"Conservative"	"Liberal Party of Canada"	"Liberal"	"Liberal"	3	1	0	0	0		0	0	6	0	0	0
21204	14	1921	"LESUEUR, Richard Vryling"	"1921-12-06"	1879		"barrister-at-law"		"LAMBTON WEST"	"Ontario"	5715	37.414074	"Conservative"	"Conservative"	"Conservative"	"Liberal Party of Canada"	"Liberal"	"Liberal"	3	1	1	0	0		0	1	4	0	0	0
28929	14	1921	"STEWART, Hugh Alexander"	"1921-12-06"	1871		"barrister-at-law"		"LEEDS"	"Ontario"	7868	45.579887	"Conservative"	"Conservative"	"Conservative"	"Liberal Party of Canada"	"Liberal"	"Liberal"	3	1	1	0	0		0	1	4	0	0	0
6983	14	1921	"FORD, John Featherstone"	"1921-12-06"			"farmer"		"HALTON"	"Ontario"	3238	26.648012	"Progressive"	"Progressive"	"Progressive"	"Liberal Party of Canada"	"Liberal"	"Liberal"	3	1	0	0	0		0	0	8	0	0	0
9082	14	1921	"HASTIE, Walter"	"1921-12-06"			"farmer"		"GREY SOUTHEAST"	"Ontario"	2638	18.902264	"Liberal"	"Liberal"	"Liberal"	"Liberal Party of Canada"	"Liberal"	"Liberal"	3	1	0	0	0		0	0	8	0	0	0
23101	14	1921	"MCISAAC, James"	"1921-12-06"			"journalist"		"KING'S"	"Prince Edward Island"	3008	34.519165	"Conservative"	"Conservative"	"Conservative"	"Liberal Party of Canada"	"Liberal"	"Liberal"	3	1	0	1	0		0	0	5	0	0	0
26156	14	1921	"PR�����VOST, Jules-�����douard"	"1921-12-06"	1871		"publisher"		"TERREBONNE"	"Quebec"	8882	70.95383	"Liberal"	"Liberal"	"Liberal"	"Liberal Party of Canada"	"Liberal"	"Liberal"	2	1	1	1	0		0	0	5	0	0	0
23007	14	1921	"MCGIBBON, Peter"	"1921-12-06"			"physician"		"MUSKOKA"	"Ontario"	3517	49.06529	"Conservative"	"Conservative"	"Conservative"	"Liberal Party of Canada"	"Liberal"	"Liberal"	2	1	0	1	0		0	0	3	0	0	0
24331	14	1921	"MUNRO, Elgin Albert"	"1921-12-06"	1874		"farmer"		"FRASER VALLEY"	"British Columbia"	4307	51.279915	"Liberal"	"Liberal"	"Liberal"	"Liberal Party of Canada"	"Liberal"	"Liberal"	2	1	1	0	0		0	0	8	0	0	0
17081	14	1921	"KING, John Warwick"	"1921-12-06"	1856		"schoolteacher"		"HURON NORTH"	"Ontario"	5243	44.712605	"Progressive"	"Progressive"	"Progressive"	"Liberal Party of Canada"	"Liberal"	"Liberal"	3	1	1	0	0		0	0	4	0	0	0
25194	14	1921	"PAQUIN, Ubald"	"1921-12-06"			"bookseller"		"ST. JAMES"	"Quebec"	625	4.8793817	"Independent"	"Independent"	"Independent"	"Liberal Party of Canada"	"Liberal"	"Liberal"	3	1	0	0	0		0	0	6	0	0	0
